PROGRAMA;A;B;C;D;E;F_;G;H;I;J;K;L;M;N;O;P;Q;R;S;T_;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB
Educacion, Mencion Ensenanza BAsica;8;6;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;7;9;9;9;9;9;9;9;7;8;9;9;9;9;9;9;9;9;9;9;9;4;9;9;9;8;7;8;8;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;8;9;8;9;8;8;9;9;9;9;9;9;9;9;8;9;8;8;8;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;8;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Educacion, Mencion Comunicacion Educativa;8;8;8;8;7;5;9;9;8;9;8;8;9;8;8;8;9;9;9;9;8;8;7;8;9;9;7;6;8;8;8;8;8;7;8;9;8;8;6;9;9;7;7;9;7;8;8;8;8;8;8;8;8;8
Educacion, Mencion Comunicacion Educativa;8;8;9;9;9;9;7;8;8;8;7;7;9;8;8;9;8;8;8;9;8;8;8;8;8;8;7;6;7;7;8;9;9;9;9;9;7;8;8;8;8;9;5;8;7;9;8;9;9;6;8;8;8;8
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;8;9;9;8;7;9;4;8;9;9;2;8;8;9;9;3;5;8;9;3;8;8;9;9;8;9;7;9;8;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;9;9;8;9;8;8;9;8;7;7;7;9;9;8;8;9;8;8;8;7;6;7;8;9;9;8;3;8;6;7;7;9;8;9;9;9;7;9;9;9;9;6;8;8;9;7;7;8;9;9;8;9;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;8;9;9;9;9;8;9;9;9;8;8;9;8;9;9;9;9;9;8;9;9;9;9;9;9;8;7;8;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;9;8;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;8;7;9;8;8;7;7;9;7;7;7;8;7;7;8;8;7;7;8;8;8;7;5;8;6;6;7;9;7;7;7;7;7;9;9;9;9;6;7;7;8;8;9;7;7;8;8;9;8
Educacion, Mencion Comunicacion Educativa;8;8;9;8;9;8;9;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;7;7;6;9;9;9;7;8;9;8;9;8;9;9;9;3;6;8;8;8;9;8;8;8;8;9;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;8;9;9;8;9;8;8;9;8;8;8;8;9;9;9;9;9;9;9;8;8;8;8;8;9;9;8;8;6;8;8;8;9;8;8;8;8;8;8;7;7;8;5;8;8;8;8;7;8;8;8;8;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;6;9;9;8;9;9;8;9;9;9;9;9;8;9;9;9;8;9;9;8;8;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;8;7;9;9;7;8;9;8;9;8;9;9;9;9;7;7;8;9;9;8;8;8;7;7;8;8;7;7;8;8;8;8;8;7;9;7;8;6;7;8;8;8;8;8;8;7;8;7;8
Educacion, Mencion Comunicacion Educativa;9;9;1;6;3;9;5;8;6;6;6;6;7;8;7;8;8;8;8;8;8;9;9;9;9;9;3;1;1;7;5;9;9;8;7;7;1;8;1;9;9;9;1;9;1;5;5;9;9;5;5;6;8;7
Pedagogia, Mencion Bachillerato Tecnico;8;9;9;9;9;9;8;9;8;9;8;8;9;9;9;9;9;9;9;9;8;7;8;8;7;8;8;7;8;8;6;8;8;7;8;9;8;8;9;9;7;7;7;8;8;7;8;6;8;8;8;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;8;9;9;9;9;8;8;9;8;8;8;9;9;9;9;9;9;8;9;9;7;8;8;9;7;8;7;8;8;8;5;8;8;8;8;9;7;9;9;7;8;9;9;9;8;7;7;8;8;6;8;9;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;8;9;8;9;9;8;8;8;9;9;9;9;9;9;9;9;9;9;8;8;5;7;7;6;7;9;6;8;8;8;9;9;8;9;7;8;8;9;8;9;8;9;9;8;8;7;8;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;8;9;8;9;9;8;8;8;9;9;9;9;9;9;9;9;9;9;8;8;5;7;7;6;7;9;6;8;8;8;9;9;8;9;7;8;8;9;8;9;8;9;9;8;8;7;8;8;8;8
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;8;8;8;8;8;7;8;8;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;7;8;9;9;8;9;9;9;8;9;8;8;9;8;8;8;9;9;8;9;8;8;8;8;9;8;8;7;8;9;8;9;8;8;8;8;8;8;9;8;8;9;8;9;8;9;8;8;8;8;8;7;9;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;8;9;8;9;9;9;9;8;9;9;8;9;9;9;9;9;9;9;8;8;9;8;9;8;7;8;1;8;8;2;7;7;5;8;8;8;9;5;5;8;1;7;7;8;8;8;6;8;7;8;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;8;9;9;9;9;9;9;9;8;8;8;9;9;9;9;9;9;9;9;9;8;7;8;9;9;8;8;4;9;7;9;9;9;9;9;7;8;7;8;9;9;9;9;9;8;8;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza BAsica;8;8;9;9;8;9;8;8;8;8;8;8;9;9;8;8;8;9;8;9;8;8;8;8;9;9;8;8;8;8;8;8;9;8;8;9;9;9;8;9;9;9;9;9;8;9;9;9;8;8;9;9;8;8
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;7;8;9;8;8;8;8;9;5;8;6;6;9;7;7;7;7;7;7;8;9;7;7;9;9;9;9;7;7;9;9;9;9;8;8;8;7;7;7;7;9;9;7;9;9;9;9;7;9;9;9;9;9;7
Educacion, Mencion Ensenanza BAsica;8;8;9;8;8;8;8;8;9;8;8;7;9;8;8;8;8;8;8;9;8;8;7;8;7;8;5;3;3;7;6;8;8;7;7;8;8;8;6;7;8;8;8;8;8;8;8;7;8;8;8;8;8;8
Educacion, Mencion Ensenanza BAsica;9;9;9;9;8;9;8;9;8;9;7;6;9;8;7;6;8;9;7;7;7;5;1;8;9;8;7;4;3;9;5;9;9;1;3;8;2;8;1;2;5;1;8;8;8;7;8;5;4;3;8;7;7;8
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;4;9;5;7;4;7;6;4;7;4;9;5;8;8;8;8;8;7;8;7;7;5;7;6;6;7;6;4;7;8;8;1;4;3;5;7;2;2;5;5;1;3;1;8;7;1;6;5;9;5;4;4
Pedagogia, Mencion Bachillerato Tecnico;5;6;8;8;8;8;5;8;6;5;2;3;8;7;7;7;6;6;6;7;7;7;7;7;8;8;5;7;5;7;8;7;8;8;7;7;5;5;6;7;7;9;4;7;7;6;7;5;5;6;8;6;7;7
Educacion, Mencion Comunicacion Educativa;9;9;9;8;9;8;7;8;9;8;8;7;9;8;8;8;8;8;8;9;8;8;8;8;7;8;7;8;8;7;7;7;8;7;8;8;8;7;9;9;8;9;6;7;8;8;8;8;8;8;8;8;8;9
MatemAtica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;7;8;7;8;9;9;7;8;8;6;8;9;9;6;8;8;9;8;9;9;9;9;3;9;9;9;9;9;9;9;9;8;9;9
Educacion, Mencion Comunicacion Educativa;9;9;8;9;9;7;8;9;9;9;7;8;8;9;9;9;9;9;9;8;8;8;8;8;7;7;7;5;7;8;8;9;9;9;9;9;9;9;8;7;9;9;1;9;9;9;9;8;6;5;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);7;7;8;7;7;6;7;7;6;7;6;7;7;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7
Educacion, Mencion Ensenanza BAsica;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Educacion, Mencion Comunicacion Educativa;3;5;9;7;9;9;9;9;5;9;9;8;9;9;9;9;9;9;9;9;9;2;3;2;9;9;9;1;9;9;9;9;9;5;5;8;5;9;9;3;9;9;9;9;7;9;9;5;9;9;9;8;8;8
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);7;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;8;9;9;9;9;6;1;3;3;7;9;6;9;9;8;9;6;6;8;8;7;8;8;8;8;6;8;8;8;8;9;9
Educacion, Mencion Ensenanza BAsica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;6;9;9;9;9;9;8;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;8;9;9;9;9;9;8;8;8;8;8;9;9;9;9;9;9;9;9;7;7;7;7;9;9;8;8;8;8;8;9;9;8;9;9;9;9;8;8;8;8;4;8;8;9;9;8;9;8;9;9;9;8
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;7;8;9;8;9;7;8;9;8;8;7;8;9;8;8;8;8;8;8;9;7;7;7;7;5;6;5;6;5;6;6;6;7;5;7;7;9;8;7;7;7;8;2;6;7;7;7;6;6;6;8;7;8;8
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;8;9;9;9;9;9;9;9;8;8;8;8;9;9;9;9;9;8;8;9;7;7;7;8;8;7;4;7;9;8;5;8;8;1;7;8;8;8;9;9;8;9;5;9;8;8;8;9;6;6;9;9;9;8
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;8;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;8;9;9;9;8;8;9;9;9;9;9;9;8;9;8;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;7;4;7;8;7;7;5;7;3;7;6;7;8;8;7;8;8;7;7;9;7;3;7;8;8;6;6;7;8;9;1;7;9;9;7;8;7;7;9;9;9;9;1;8;8;9;9;9;7;7;8;8;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;9;9;9;9;9;9;9;8;8;8;9;9;9;8;8;9;9;8;8;9;9;9;8;9;9;9;9;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;8;8;8;8;8;8;7;8;8;8;7;8;7;8;7;8;8;8;7;8;7;9;7;8;7;8;8;7;8;8;7;8;8;8;7;7;8;9;8;8;7;7;7;8;7;7;7;8;8;8;8;7;8;7
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;7;9;9;9;9;9;8;9;9;8;8;9;9;7;8;8;8;9;9;9;8;8;8;8;8;9;9;9;9;8;8;8;8;8;8;7;7;8;9;9;8;8;8;9;7;8;9;8;8;8;8;8;8;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;8;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;8;8;7;7;9;9;8;9;9;8;9;8;9;9;9;8;9;9;8;8;9;9;9;9;9;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;8;9;9;8;9;9;9;9;9;9;9;8;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;8;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;8;8;8;9;8;8;9;9;7;7;7;8;7;5;8;7;7;7;8;6;7;6;8;9;8;7;6;6;9;8;8;8;8;8;8;7;7;7;9;9;9;8;8;8;8;8;9;8;8;9;9;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;8;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;7;8;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;8;9;9;9;9;9;9;9;9;9;9;9;6;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;6;6;7;7;7;6;8;8;4;6;8;8;9;9;9;9;9;7;7;8;8;8;5;5;4;6;5;1;1;1;2;5;4;2;1;9;5;8;1;5;5;5;1;5;1;5;1;5;6;6;6;5;6;8
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;8;9;8;7;9;9;7;8;7;7;2;8;7;8;9;5;9;9;8;8;8;9;9;8;1;9;9;8;9;9;7;8;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;5;9;9;9;9;9;5;4;9;9;9;1;5;7;7;8;1;9;9;1;3;9;9;9;9;3;6;6;7;7;9;7
Administracion de Empresas;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;8;5;7;8;8;8;9;9;9;9;9;8;8;9;9;9;9;9;9;9;7;9;8;9;9;9
Administracion de Empresas;7;5;9;9;9;9;8;9;9;8;7;7;9;8;7;8;8;8;8;8;6;7;7;8;9;8;8;8;8;9;8;8;9;9;9;9;8;8;9;7;9;9;8;8;9;8;8;7;7;7;9;8;8;7
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;7;5;7;7;5;7;8;9;7;7;7;6;8;7;7;7;7;7;8;8;7;6;6;8;6;6;1;5;1;1;5;6;8;5;4;1;1;5;6;7;7;8;5;7;7;7;7;7;7;5;8;8;8;7
Educacion, Mencion Ensenanza BAsica;9;9;9;9;9;8;9;8;9;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;8;8;8;9;9;9;8;9;9;9;9;9;9;9;8;9;9;9;9;8;9;9;9;9;9;9
Agronomia, Mencion Mecanizacion Agricola;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Agronomia, Mencion Agricultura Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;5;5;4;4;5;5;7;7;7;5;7;5;6;7;7;7;7;7;8;8;7;4;4;7;8;8;4;4;7;7;7;7;8;7;6;5;5;6;6;6;7;7;5;5;6;6;7;7;6;5;7;7;7;7
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;9;8;9;8;5;7;7;8;8;9;9;9;9;9;9;9;9;5;8;9;9;8;9;8;9;8;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;8;9;9;9;9;9;9;9;9;9;8;9;9;9;9;8;9;9;9;9;9;8;9;9;8;8;8;8;8;8;8;8;8;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;8;8;8;8;8;8;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;9;9;9;9;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9
Educacion, Mencion Comunicacion Educativa;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;7;9;9;9;9;5;9;9;9;9;5;9;9;5;5;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;8;9;8;8;8;8;9;9;9;9;9;8;8;9;9;9;9;9;7;8;6;6;6;9;6;6;8;6;8;8;8;9;8;9;8;8;5;8;7;8;8;9;7;7;8;8;8;8
Educacion, Mencion Comunicacion Educativa;8;9;9;8;9;7;8;8;8;7;9;6;9;8;8;9;7;8;9;9;7;6;8;9;7;8;8;5;5;6;7;9;9;9;7;8;5;6;9;6;9;9;4;8;6;9;9;7;8;7;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;9;9;8;9;9;7;9;9;9;9;7;9;9;9;7;8;9;9;8;7;9;8;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;7;8;9;9;9;9;8;9;9;9;9;3;7;9;9;4;9;9;9;9;6;8;6;9;9;9;9
Educacion, Mencion Comunicacion Educativa;8;7;9;8;8;8;6;9;9;6;7;8;9;8;7;8;7;7;8;8;8;8;7;8;9;9;9;6;8;8;8;9;9;6;7;7;7;7;8;8;9;9;5;9;9;9;9;8;8;6;8;8;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;8;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
